         40240765 function calls (40240693 primitive calls) in 85.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.137    0.137   85.386   85.386 scsatime.py:226(compute_scsa_denoising)
        4   37.269    9.317   85.234   21.308 scsatime.py:165(compute_scsa_1d)
        4    0.282    0.071   37.636    9.409 scsatime.py:141(simp_integral)
    32764    0.337    0.000   36.502    0.001 lax_numpy.py:3770(_rewriting_take)
    32760    0.361    0.000   31.927    0.001 lax_numpy.py:3822(_gather)
   131123    0.223    0.000   20.075    0.000 core.py:326(bind)
   131123    0.269    0.000   18.375    0.000 core.py:331(bind_with_trace)
    32760    0.798    0.000   17.748    0.001 lax_numpy.py:3924(_index_to_gather)
   131123    0.225    0.000   17.162    0.000 core.py:711(process_primitive)
   131123    0.413    0.000   16.937    0.000 dispatch.py:111(apply_primitive)
    65587    0.444    0.000   10.132    0.000 lax.py:560(_convert_element_type)
   131123    0.300    0.000    9.835    0.000 dispatch.py:200(<lambda>)
    65524    0.245    0.000    8.680    0.000 lax.py:796(broadcast_in_dim)
        4    2.344    0.586    8.595    2.149 scsatime.py:100(construct_matrix)
    16380    0.056    0.000    7.695    0.000 lax_numpy.py:2036(zeros_like)
    16380    0.189    0.000    7.312    0.000 lax.py:1327(full_like)
    49140    0.389    0.000    7.250    0.000 lax.py:1309(expand_dims)
    32764    0.032    0.000    6.502    0.000 lax.py:541(convert_element_type)
    65578    2.380    0.000    5.837    0.000 dispatch.py:875(_execute_compiled)
    65682    3.704    0.000    4.474    0.000 lax_numpy.py:4931(deferring_binary_op)
   196613    0.154    0.000    4.380    0.000 core.py:1252(get_aval)
  1999556    1.288    0.000    4.358    0.000 config.py:244(get_state)
    32760    0.183    0.000    4.114    0.000 lax_numpy.py:3884(_split_index_for_jit)
   196613    0.493    0.000    4.001    0.000 core.py:1242(concrete_aval)
        4    0.172    0.043    3.735    0.934 _base.py:948(toarray)
    32760    0.257    0.000    3.721    0.000 lax_numpy.py:4184(_expand_bool_indices)
    65546    0.316    0.000    3.698    0.000 dispatch.py:932(_execute_trivial)
   131123    0.548    0.000    3.607    0.000 util.py:248(wrapper)
    16384    0.075    0.000    3.541    0.000 lax.py:1183(full)
    98305    0.160    0.000    3.338    0.000 abstract_arrays.py:67(_make_concrete_python_scalar)
   131131    0.168    0.000    3.336    0.000 dispatch.py:1254(device_put)
    16380    0.085    0.000    3.116    0.000 slicing.py:222(gather)
   147512    0.783    0.000    3.082    0.000 dispatch.py:94(arg_spec)
        4    1.971    0.493    2.741    0.685 _dia.py:392(tocoo)
    65546    0.161    0.000    2.736    0.000 dispatch.py:942(<listcomp>)
    16384    0.056    0.000    2.528    0.000 lax.py:779(broadcast)
   131124    0.546    0.000    2.415    0.000 config.py:458(_trace_context)
   737425    0.515    0.000    2.160    0.000 dtypes.py:117(canonicalize_dtype)
    16380    0.058    0.000    2.120    0.000 lax_numpy.py:916(expand_dims)
   426153    0.703    0.000    2.110    0.000 dtypes.py:447(dtype)
  2802966    2.069    0.000    2.069    0.000 {built-in method builtins.getattr}
    98343    0.281    0.000    2.010    0.000 dtypes.py:494(result_type)
    98321    0.213    0.000    1.919    0.000 abstract_arrays.py:52(canonical_concrete_aval)
   147513    0.223    0.000    1.771    0.000 xla.py:267(abstractify)
  2524082    1.173    0.000    1.731    0.000 config.py:100(_read)
3114292/3114284    0.857    0.000    1.684    0.000 {built-in method builtins.isinstance}
803203/803155    0.838    0.000    1.664    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    65516    0.108    0.000    1.658    0.000 lax_numpy.py:4175(_is_boolean_index)
    65578    0.170    0.000    1.631    0.000 util.py:142(concatenate)
    49165    0.119    0.000    1.517    0.000 abstract_arrays.py:35(make_shaped_array)
   147544    0.094    0.000    1.444    0.000 dispatch.py:883(<genexpr>)
   131131    0.134    0.000    1.348    0.000 xla.py:239(canonicalize_dtype)
    98398    0.288    0.000    1.342    0.000 dtypes.py:464(_lattice_result_type)
    32752    0.095    0.000    1.336    0.000 lax_numpy.py:3658(_normalize_index)
    98321    0.377    0.000    1.231    0.000 core.py:1453(__init__)
   114743    0.067    0.000    1.206    0.000 dispatch.py:802(<lambda>)
   131124    0.450    0.000    1.204    0.000 core.py:1118(find_top_trace)
   196595    0.445    0.000    1.196    0.000 dtypes.py:251(issubdtype)
   196709    1.023    0.000    1.181    0.000 device_array.py:53(make_device_array)
    49165    0.080    0.000    1.174    0.000 xla.py:250(_canonicalize_ndarray_dtype)
   278597    0.783    0.000    1.173    0.000 util.py:73(safe_map)
    81966    0.080    0.000    1.140    0.000 dispatch.py:1287(_device_put_device_array)
   114743    0.129    0.000    1.139    0.000 dispatch.py:771(maybe_create_array_from_da)
    65578    0.150    0.000    1.108    0.000 dispatch.py:767(__call__)
   163812    0.477    0.000    1.105    0.000 core.py:1770(_dim_handler_and_canonical)
    98305    0.298    0.000    1.095    0.000 dtypes.py:144(_scalar_type_to_dtype)
    98347    0.488    0.000    1.064    0.000 dispatch.py:1294(_copy_device_array_to_device)
   196826    0.080    0.000    1.039    0.000 dtypes.py:465(<genexpr>)
    98428    0.155    0.000    0.959    0.000 dtypes.py:311(_dtype_and_weaktype)
   131008    0.081    0.000    0.897    0.000 lax_numpy.py:330(issubdtype)
    81904    0.140    0.000    0.886    0.000 core.py:1803(symbolic_equal_dim)
   213026    0.228    0.000    0.868    0.000 core.py:1886(canonicalize_shape)
   213179    0.156    0.000    0.832    0.000 {built-in method builtins.any}
  1245750    0.387    0.000    0.828    0.000 abc.py:117(__instancecheck__)
        4    0.000    0.000    0.823    0.206 _coo.py:320(toarray)
   409839    0.324    0.000    0.799    0.000 <__array_function__ internals>:177(result_type)
   262129    0.305    0.000    0.778    0.000 numerictypes.py:356(issubdtype)
        4    0.754    0.188    0.754    0.188 {built-in method scipy.sparse._sparsetools.coo_todense}
   131156    0.087    0.000    0.743    0.000 dispatch.py:768(<genexpr>)
   393401    0.223    0.000    0.701    0.000 config.py:281(get_state)
       57    0.333    0.006    0.698    0.012 ufuncs.py:332(power)
    98280    0.118    0.000    0.685    0.000 core.py:1799(is_constant_dim)
    32756    0.120    0.000    0.681    0.000 lax.py:4708(_const)
    49165    0.657    0.000    0.681    0.000 dispatch.py:1264(_device_put_array)
   262166    0.196    0.000    0.668    0.000 <__array_function__ internals>:177(shape)
    32760    0.036    0.000    0.654    0.000 lax_numpy.py:4234(_is_advanced_int_indexer)
   311368    0.274    0.000    0.646    0.000 core.py:1763(_get_special_dim_handler)
    81981    0.126    0.000    0.640    0.000 core.py:1875(_canonicalize_dimension)
    49194    0.041    0.000    0.632    0.000 {built-in method builtins.all}
    98276    0.090    0.000    0.581    0.000 lax_numpy.py:4238(<genexpr>)
    49140    0.059    0.000    0.580    0.000 core.py:1849(is_empty_shape)
  2524082    0.558    0.000    0.558    0.000 config.py:117(check_exists)
        4    0.000    0.000    0.542    0.135 lax_numpy.py:553(transpose)
    32760    0.063    0.000    0.542    0.000 lax_numpy.py:3964(<listcomp>)
        4    0.000    0.000    0.542    0.135 lax.py:951(transpose)
        4    0.000    0.000    0.527    0.132 <__array_function__ internals>:177(tile)
        4    0.001    0.000    0.527    0.132 shape_base.py:1191(tile)
        4    0.526    0.131    0.526    0.131 {method 'repeat' of 'numpy.ndarray' objects}
    98284    0.044    0.000    0.488    0.000 core.py:1850(<genexpr>)
